АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ
ТЫСЯЧЕЛИСТНИК ОБЫКНОВЕННЫЙ
УКРОП ПАХУЧИЙ
ФАСОЛЬ ОБЫКНОВЕННАЯ
ХВОЩ ПОЛЕВОЙ
ХМЕЛЬ ОБЫКНОВЕННЫЙ
ЦИКОРИЙ ОБЫКНОВЕННЫЙ
ЦИНЕР АРИЕЛИСТНЫЙ
ЧЕМЕРИЦА ЛОБЕЛЯ
ЧЕРНИКА ОБЫКНОВЕННАЯ
ЧЕРНУШКА ДАМАССКАЯ
МАТЬ-И-МАЧЕХА ОБЫКНОВЕННАЯ
ЧИСТОТЕЛ БОЛЬШОЙ
ШИПОВНИК МАЙСКИЙ
ШЛЕМНИК БАЙКАЛЬСКИЙ
ЩАВЕЛЬ КОНСКИЙ
ЩИТОВНИК МУЖСКОЙ
ЭВКАЛИПТ ПРУТОВИДНЫЙ
ЭВКОММИЯ ВЯЗОЛИСТНАЯ
ЭРВА ШЕРСТИСТАЯ
