Растение	Регион
морковь дикая	Республика Марий Эл
наперстянка крупноцветковая	Алтайский край
наперстянка крупноцветковая	Брянская область
наперстянка крупноцветковая	Кировская область
наперстянка крупноцветковая	Курганская область
наперстянка крупноцветковая	Курская область
наперстянка крупноцветковая	Республика Мордовия
наперстянка крупноцветковая	Новосибирская область
наперстянка крупноцветковая	Оренбургская область
наперстянка крупноцветковая	Орловская область
наперстянка крупноцветковая	Пензенская область
наперстянка крупноцветковая	Псковская область
наперстянка крупноцветковая	Самарская область
наперстянка крупноцветковая	Свердловская область
наперстянка крупноцветковая	Смоленская область
наперстянка крупноцветковая	Тверская область
наперстянка крупноцветковая	Тюменская область
наперстянка крупноцветковая	Ульяновская область
облепиха крушиновидная	Чеченская Республика
очиток большой	Вологодская область
очиток большой	Костромская область
переступень белый	Астраханская область
подорожник большой	Пензенская область
подорожник большой	Самарская область
подорожник большой	Тамбовская область
подорожник большой	Ульяновская область
прутняк обыкновенный	Краснодарский край
прутняк обыкновенный	Республика Крым
репешок волосистый	Вологодская область
репешок обыкновенный	Вологодская область
сабельник болотный	Белгородская область
сабельник болотный	Донецкая Народная Республика
сабельник болотный	Карачаево-Черкесская Республика
сабельник болотный	Краснодарский край
сабельник болотный	Самарская область
сабельник болотный	Саратовская область
свободноягодник колючий	Амурская область
секуринега полукустарниковая	Еврейская автономная область
секуринега полукустарниковая	Забайкальский край
серпуха венценосная	Донецкая Народная Республика
серпуха венценосная	Калужская область
серпуха венценосная	Кировская область
серпуха венценосная	Республика Марий Эл
серпуха венценосная	Московская область
серпуха венценосная	Рязанская область
серпуха венценосная	Тамбовская область
синюха голубая	Воронежская область
синюха голубая	Самарская область
синюха голубая	Саратовская область
скумпия кожевенная	Чеченская Республика
смоковница обыкновенная	Республика Дагестан
смоковница обыкновенная	Краснодарский край
солодка голая	Донецкая Народная Республика
солодка голая	Республика Крым
солодка голая	Курганская область
солодка голая	Самарская область
стальник колючий	Республика Башкортостан
стальник колючий	Ленинградская область
стальник колючий	Смоленская область
стальник колючий	Тверская область
стальник колючий	Ульяновская область
сумах дубильный	Карачаево-Черкесская Республика
тимьян ползучий	Владимирская область
тимьян ползучий	Калужская область
тимьян ползучий	Московская область
тимьян ползучий	Мурманская область
тимьян ползучий	Нижегородская область
толокнянка обыкновенная	Брянская область
толокнянка обыкновенная	Владимирская область
толокнянка обыкновенная	Калининградская область
толокнянка обыкновенная	Калужская область
толокнянка обыкновенная	Карачаево-Черкесская Республика
толокнянка обыкновенная	Липецкая область
толокнянка обыкновенная	Республика Мордовия
толокнянка обыкновенная	Московская область
толокнянка обыкновенная	Пензенская область
толокнянка обыкновенная	Рязанская область
толокнянка обыкновенная	Самарская область
толокнянка обыкновенная	Смоленская область
толокнянка обыкновенная	Тамбовская область
толокнянка обыкновенная	Тверская область
толокнянка обыкновенная	Тульская область
толокнянка обыкновенная	Ярославская область
чемерица лобеля	Вологодская область
чемерица лобеля	Курганская область
чемерица лобеля	Ленинградская область
чемерица лобеля	Республика Марий Эл
чемерица лобеля	Оренбургская область
чемерица лобеля	Ростовская область
чемерица лобеля	Смоленская область
чемерица лобеля	Ярославская область
черника обыкновенная	Воронежская область
черника обыкновенная	Кабардино-Балкарская Республика
черника обыкновенная	Курская область
черника обыкновенная	Липецкая область
черника обыкновенная	Самарская область
черника обыкновенная	Саратовская область
черника обыкновенная	Тульская область
шлемник байкальский	Амурская область
шлемник байкальский	Еврейская автономная область
шлемник байкальский	Забайкальский край
шлемник байкальский	Приморский край
шлемник байкальский	Республика Саха (Якутия)
шлемник байкальский	Хабаровский край
щитовник мужской	Республика Бурятия
щитовник мужской	Иркутская область
щитовник мужской	Республика Коми
щитовник мужской	Красноярский край
щитовник мужской	Курганская область
щитовник мужской	Оренбургская область
щитовник мужской	Ростовская область
щитовник мужской	Саратовская область
щитовник мужской	Республика Тыва
щитовник мужской	Тюменская область
